date,stadium,pitcher,batter,outs,home_score,away_score,descr,inning,side,bases
2012-10-06,Comerica Park,verlaju01,crispco01,0,0,0,Home Run,1,top,
2012-10-06,Comerica Park,verlaju01,drewst01,0,0,1,Lineout,1,top,
2012-10-06,Comerica Park,verlaju01,cespeyo01,1,0,1,Walk,1,top,
2012-10-06,Comerica Park,verlaju01,mossbr01,1,0,1,Strikeout,1,top,1b
2012-10-06,Comerica Park,verlaju01,reddijo01,2,0,1,Strikeout,1,top,1b
2012-10-06,Comerica Park,parkeja02,jacksau01,0,0,1,Double,1,bottom,
2012-10-06,Comerica Park,parkeja02,berryqu01,0,0,1,Single,1,bottom,2b
2012-10-06,Comerica Park,parkeja02,cabremi01,0,0,1,Grounded Into DP,1,bottom,1b3b
2012-10-06,Comerica Park,parkeja02,fieldpr01,2,1,1,Flyout,1,bottom,
2012-10-06,Comerica Park,verlaju01,donaljo02,0,1,1,Flyout,2,top,
2012-10-06,Comerica Park,verlaju01,smithse01,1,1,1,Walk,2,top,
2012-10-06,Comerica Park,verlaju01,norride01,1,1,1,Forceout,2,top,1b
2012-10-06,Comerica Park,verlaju01,pennicl01,2,1,1,Strikeout,2,top,1b
2012-10-06,Comerica Park,parkeja02,youngde03,0,1,1,Groundout,2,bottom,
2012-10-06,Comerica Park,parkeja02,dirksan01,1,1,1,Flyout,2,bottom,
2012-10-06,Comerica Park,parkeja02,peraljh01,2,1,1,Groundout,2,bottom,
2012-10-06,Comerica Park,verlaju01,crispco01,0,1,1,Flyout,3,top,
2012-10-06,Comerica Park,verlaju01,drewst01,1,1,1,Double,3,top,
2012-10-06,Comerica Park,verlaju01,cespeyo01,1,1,1,Groundout,3,top,2b
2012-10-06,Comerica Park,verlaju01,mossbr01,2,1,1,Strikeout,3,top,2b
2012-10-06,Comerica Park,parkeja02,avilaal01,0,1,1,Strikeout,3,bottom,
2012-10-06,Comerica Park,parkeja02,infanom01,1,1,1,Double,3,bottom,
2012-10-06,Comerica Park,parkeja02,jacksau01,1,1,1,Pop Out,3,bottom,2b
2012-10-06,Comerica Park,parkeja02,berryqu01,2,1,1,Single,3,bottom,2b
2012-10-06,Comerica Park,parkeja02,cabremi01,2,2,1,Walk,3,bottom,2b
2012-10-06,Comerica Park,parkeja02,fieldpr01,2,2,1,Pop Out,3,bottom,1b2b
2012-10-06,Comerica Park,verlaju01,reddijo01,0,2,1,Walk,4,top,
2012-10-06,Comerica Park,verlaju01,donaljo02,0,2,1,Strikeout,4,top,1b
2012-10-06,Comerica Park,verlaju01,smithse01,1,2,1,Forceout,4,top,1b
2012-10-06,Comerica Park,verlaju01,norride01,2,2,1,Pop Out,4,top,1b
2012-10-06,Comerica Park,parkeja02,youngde03,0,2,1,Hit By Pitch,4,bottom,
2012-10-06,Comerica Park,parkeja02,dirksan01,0,2,1,Flyout,4,bottom,1b
2012-10-06,Comerica Park,parkeja02,peraljh01,1,2,1,Strikeout - DP,4,bottom,1b
2012-10-06,Comerica Park,verlaju01,pennicl01,0,2,1,Single,5,top,
2012-10-06,Comerica Park,verlaju01,crispco01,0,2,1,Flyout,5,top,1b
2012-10-06,Comerica Park,verlaju01,drewst01,1,2,1,Strikeout,5,top,1b
2012-10-06,Comerica Park,verlaju01,cespeyo01,2,2,1,Forceout,5,top,1b
2012-10-06,Comerica Park,parkeja02,avilaal01,0,2,1,Home Run,5,bottom,
2012-10-06,Comerica Park,parkeja02,infanom01,0,3,1,Groundout,5,bottom,
2012-10-06,Comerica Park,parkeja02,jacksau01,1,3,1,Flyout,5,bottom,
2012-10-06,Comerica Park,parkeja02,berryqu01,2,3,1,Strikeout,5,bottom,
2012-10-06,Comerica Park,verlaju01,mossbr01,0,3,1,Strikeout,6,top,
2012-10-06,Comerica Park,verlaju01,reddijo01,1,3,1,Strikeout,6,top,
2012-10-06,Comerica Park,verlaju01,donaljo02,2,3,1,Strikeout,6,top,
2012-10-06,Comerica Park,parkeja02,cabremi01,0,3,1,Flyout,6,bottom,
2012-10-06,Comerica Park,parkeja02,fieldpr01,1,3,1,Lineout,6,bottom,
2012-10-06,Comerica Park,parkeja02,youngde03,2,3,1,Strikeout,6,bottom,
2012-10-06,Comerica Park,verlaju01,smithse01,0,3,1,Strikeout,7,top,
2012-10-06,Comerica Park,verlaju01,norride01,1,3,1,Strikeout,7,top,
2012-10-06,Comerica Park,verlaju01,pennicl01,2,3,1,Walk,7,top,
2012-10-06,Comerica Park,verlaju01,crispco01,2,3,1,Groundout,7,top,1b
2012-10-06,Comerica Park,parkeja02,dirksan01,0,3,1,Single,7,bottom,
2012-10-06,Comerica Park,parkeja02,peraljh01,0,3,1,Strikeout,7,bottom,1b
2012-10-06,Comerica Park,parkeja02,avilaal01,1,3,1,Single,7,bottom,1b
2012-10-06,Comerica Park,neshepa01,infanom01,1,3,1,Forceout,7,bottom,1b2b
2012-10-06,Comerica Park,neshepa01,jacksau01,2,3,1,Strikeout,7,bottom,1b3b
2012-10-06,Comerica Park,benoijo01,drewst01,0,3,1,Groundout,8,top,
2012-10-06,Comerica Park,benoijo01,cespeyo01,1,3,1,Single,8,top,
2012-10-06,Comerica Park,benoijo01,mossbr01,1,3,1,Flyout,8,top,1b
2012-10-06,Comerica Park,benoijo01,reddijo01,2,3,1,Strikeout,8,top,1b
2012-10-06,Comerica Park,blevije01,garciav01,0,3,1,Lineout,8,bottom,
2012-10-06,Comerica Park,blevije01,cabremi01,1,3,1,Flyout,8,bottom,
2012-10-06,Comerica Park,blevije01,fieldpr01,2,3,1,Flyout,8,bottom,
2012-10-06,AT&T Park,cainma01,phillbr01,0,0,0,Flyout,1,top,
2012-10-06,AT&T Park,cainma01,cozarza01,1,0,0,Pop Out,1,top,
2012-10-06,AT&T Park,cainma01,vottojo01,2,0,0,Strikeout,1,top,
2012-10-06,AT&T Park,cuetojo01,paganan01,0,0,0,Strikeout,1,bottom,
2012-10-06,AT&T Park,lecursa01,scutama01,1,0,0,Groundout,1,bottom,
2012-10-06,AT&T Park,lecursa01,sandopa01,2,0,0,Groundout,1,bottom,
2012-10-06,AT&T Park,cainma01,ludwiry01,0,0,0,Strikeout,2,top,
2012-10-06,AT&T Park,cainma01,bruceja01,1,0,0,Double,2,top,
2012-10-06,AT&T Park,cainma01,hanigry01,2,0,0,Flyout,2,top,3b
2012-10-06,AT&T Park,lecursa01,poseybu01,0,0,0,Strikeout,2,bottom,
2012-10-06,AT&T Park,lecursa01,pencehu01,1,0,0,Groundout,2,bottom,
2012-10-06,AT&T Park,lecursa01,beltbr01,2,0,0,Walk,2,bottom,
2012-10-06,AT&T Park,lecursa01,blancgr01,2,0,0,Double,2,bottom,1b
2012-10-06,AT&T Park,lecursa01,crawfbr01,2,0,0,Intent Walk,2,bottom,2b3b
2012-10-06,AT&T Park,lecursa01,cainma01,2,0,0,Lineout,2,bottom,1b2b3b
2012-10-06,AT&T Park,cainma01,stubbdr01,0,0,0,Single,3,top,
2012-10-06,AT&T Park,cainma01,baileho02,0,0,0,Strikeout,3,top,1b
2012-10-06,AT&T Park,cainma01,phillbr01,1,0,0,Home Run,3,top,1b
2012-10-06,AT&T Park,cainma01,cozarza01,1,0,2,Hit By Pitch,3,top,
2012-10-06,AT&T Park,cainma01,vottojo01,1,0,2,Walk,3,top,1b
2012-10-06,AT&T Park,cainma01,ludwiry01,1,0,2,Grounded Into DP,3,top,1b2b
2012-10-06,AT&T Park,latosma01,paganan01,0,0,2,Flyout,3,bottom,
2012-10-06,AT&T Park,latosma01,scutama01,1,0,2,Groundout,3,bottom,
2012-10-06,AT&T Park,latosma01,sandopa01,2,0,2,Single,3,bottom,
2012-10-06,AT&T Park,latosma01,poseybu01,2,0,2,Groundout,3,bottom,1b
2012-10-06,AT&T Park,cainma01,bruceja01,0,0,2,Home Run,4,top,
2012-10-06,AT&T Park,cainma01,hanigry01,1,0,3,Flyout,4,top,
2012-10-06,AT&T Park,cainma01,stubbdr01,2,0,3,Flyout,4,top,
2012-10-06,AT&T Park,latosma01,pencehu01,0,0,3,Field Error,4,bottom,
2012-10-06,AT&T Park,latosma01,beltbr01,0,0,3,Double Play,4,bottom,1b
2012-10-06,AT&T Park,latosma01,blancgr01,2,0,3,Walk,4,bottom,
2012-10-06,AT&T Park,latosma01,crawfbr01,2,0,3,Strikeout,4,bottom,1b
2012-10-06,AT&T Park,cainma01,latosma01,0,0,3,Strikeout,5,top,
2012-10-06,AT&T Park,cainma01,phillbr01,1,0,3,Pop Out,5,top,
2012-10-06,AT&T Park,cainma01,cozarza01,2,0,3,Single,5,top,
2012-10-06,AT&T Park,cainma01,vottojo01,2,0,3,Groundout,5,top,1b
2012-10-06,AT&T Park,latosma01,paganan01,1,0,3,Single,5,bottom,
2012-10-06,AT&T Park,latosma01,scutama01,1,0,3,Forceout,5,bottom,1b
2012-10-06,AT&T Park,latosma01,sandopa01,2,0,3,Groundout,5,bottom,1b
2012-10-06,AT&T Park,kontoge01,ludwiry01,0,0,3,Strikeout,6,top,
2012-10-06,AT&T Park,kontoge01,bruceja01,1,0,3,Lineout,6,top,
2012-10-06,AT&T Park,latosma01,poseybu01,0,0,3,Home Run,6,bottom,
2012-10-06,AT&T Park,latosma01,pencehu01,0,1,3,Flyout,6,bottom,
2012-10-06,AT&T Park,latosma01,beltbr01,1,1,3,Flyout,6,bottom,
2012-10-06,AT&T Park,latosma01,blancgr01,2,1,3,Single,6,bottom,
2012-10-06,AT&T Park,latosma01,crawfbr01,2,1,3,Pop Out,6,bottom,1b
2012-10-06,AT&T Park,kontoge01,hanigry01,0,1,3,Groundout,7,top,
2012-10-06,AT&T Park,kontoge01,stubbdr01,1,1,3,Flyout,7,top,
2012-10-06,AT&T Park,marshse01,paganan01,1,1,3,Flyout,7,bottom,
2012-10-06,AT&T Park,marshse01,scutama01,2,1,3,Lineout,7,bottom,
2012-10-06,AT&T Park,affelje01,vottojo01,1,1,3,Groundout,8,top,1b
2012-10-06,AT&T Park,affelje01,ludwiry01,2,1,3,Intent Walk,8,top,2b
2012-10-06,AT&T Park,affelje01,bruceja01,2,1,3,Groundout,8,top,1b2b
2012-10-06,AT&T Park,broxtjo01,sandopa01,0,1,3,Lineout,8,bottom,
2012-10-06,AT&T Park,broxtjo01,poseybu01,1,1,3,Single,8,bottom,
2012-10-06,AT&T Park,broxtjo01,pencehu01,1,1,3,Flyout,8,bottom,1b
2012-10-06,AT&T Park,broxtjo01,beltbr01,2,1,3,Walk,8,bottom,1b
2012-10-06,AT&T Park,broxtjo01,blancgr01,2,1,3,Strikeout,8,bottom,1b2b
2012-10-06,AT&T Park,garcija01,hanigry01,1,1,3,Single,9,top,
