,date,stadium,pitcher,batter,outs,home_score,away_score,descr,inning,side,bases
1332,2012-10-05,Globe Life Park in Arlington,darviyu01,mclouna01,0,0,0,Field Error,1,top,
1333,2012-10-05,Globe Life Park in Arlington,darviyu01,hardyjj01,0,0,0,Single,1,top,2b
1334,2012-10-05,Globe Life Park in Arlington,darviyu01,davisch02,0,0,1,Strikeout,1,top,1b
1335,2012-10-05,Globe Life Park in Arlington,darviyu01,jonesad01,1,0,1,Pop Out,1,top,1b
1336,2012-10-05,Globe Life Park in Arlington,darviyu01,wietema01,2,0,1,Strikeout,1,top,1b
1337,2012-10-05,Globe Life Park in Arlington,saundjo01,kinslia01,0,0,1,Walk,1,bottom,
1338,2012-10-05,Globe Life Park in Arlington,saundjo01,andruel01,0,0,1,Single,1,bottom,1b
1339,2012-10-05,Globe Life Park in Arlington,saundjo01,hamiljo03,0,0,1,Grounded Into DP,1,bottom,1b3b
1340,2012-10-05,Globe Life Park in Arlington,saundjo01,beltrad01,2,1,1,Flyout,1,bottom,
1341,2012-10-05,Globe Life Park in Arlington,darviyu01,reynoma01,1,1,1,Hit By Pitch,2,top,
1342,2012-10-05,Globe Life Park in Arlington,darviyu01,flahery01,1,1,1,Strikeout,2,top,1b
1343,2012-10-05,Globe Life Park in Arlington,darviyu01,machama01,2,1,1,Groundout,2,top,2b
1344,2012-10-05,Globe Life Park in Arlington,saundjo01,cruzne02,0,1,1,Groundout,2,bottom,
1345,2012-10-05,Globe Life Park in Arlington,saundjo01,napolmi01,1,1,1,Strikeout,2,bottom,1b
1346,2012-10-05,Globe Life Park in Arlington,saundjo01,sotoge01,2,1,1,Strikeout,2,bottom,1b
1347,2012-10-05,Globe Life Park in Arlington,darviyu01,mclouna01,0,1,1,Pop Out,3,top,
1348,2012-10-05,Globe Life Park in Arlington,darviyu01,hardyjj01,1,1,1,Pop Out,3,top,
1349,2012-10-05,Globe Life Park in Arlington,darviyu01,davisch02,2,1,1,Strikeout,3,top,
1350,2012-10-05,Globe Life Park in Arlington,saundjo01,gentrcr01,0,1,1,Field Error,3,bottom,
1351,2012-10-05,Globe Life Park in Arlington,saundjo01,kinslia01,0,1,1,Grounded Into DP,3,bottom,1b
1352,2012-10-05,Globe Life Park in Arlington,saundjo01,andruel01,2,1,1,Single,3,bottom,
1353,2012-10-05,Globe Life Park in Arlington,saundjo01,hamiljo03,2,1,1,Strikeout,3,bottom,1b
1354,2012-10-05,Globe Life Park in Arlington,darviyu01,jonesad01,0,1,1,Flyout,4,top,
1355,2012-10-05,Globe Life Park in Arlington,darviyu01,wietema01,1,1,1,Groundout,4,top,
1356,2012-10-05,Globe Life Park in Arlington,darviyu01,reynoma01,2,1,1,Pop Out,4,top,1b
1357,2012-10-05,Globe Life Park in Arlington,saundjo01,beltrad01,0,1,1,Groundout,4,bottom,
1358,2012-10-05,Globe Life Park in Arlington,saundjo01,cruzne02,1,1,1,Single,4,bottom,
1359,2012-10-05,Globe Life Park in Arlington,saundjo01,napolmi01,1,1,1,Strikeout,4,bottom,1b3b
1360,2012-10-05,Globe Life Park in Arlington,saundjo01,sotoge01,2,1,1,Forceout,4,bottom,1b3b
1361,2012-10-05,Globe Life Park in Arlington,darviyu01,flahery01,0,1,1,Flyout,5,top,
1362,2012-10-05,Globe Life Park in Arlington,darviyu01,machama01,1,1,1,Strikeout,5,top,
1363,2012-10-05,Globe Life Park in Arlington,darviyu01,mclouna01,2,1,1,Groundout,5,top,
1364,2012-10-05,Globe Life Park in Arlington,saundjo01,gentrcr01,0,1,1,Flyout,5,bottom,
1365,2012-10-05,Globe Life Park in Arlington,saundjo01,kinslia01,1,1,1,Single,5,bottom,
1366,2012-10-05,Globe Life Park in Arlington,saundjo01,andruel01,1,1,1,Grounded Into DP,5,bottom,1b
1367,2012-10-05,Globe Life Park in Arlington,darviyu01,hardyjj01,0,1,1,Single,6,top,
1368,2012-10-05,Globe Life Park in Arlington,darviyu01,davisch02,0,1,1,Single,6,top,1b
1369,2012-10-05,Globe Life Park in Arlington,darviyu01,jonesad01,0,1,1,Sac Fly,6,top,1b3b
1370,2012-10-05,Globe Life Park in Arlington,darviyu01,wietema01,1,1,2,Pop Out,6,top,1b
1371,2012-10-05,Globe Life Park in Arlington,saundjo01,hamiljo03,0,1,2,Groundout,6,bottom,
1372,2012-10-05,Globe Life Park in Arlington,saundjo01,beltrad01,1,1,2,Flyout,6,bottom,
1373,2012-10-05,Globe Life Park in Arlington,odayda01,cruzne02,2,1,2,Pop Out,6,bottom,
1374,2012-10-05,Globe Life Park in Arlington,darviyu01,reynoma01,0,1,2,Strikeout,7,top,
1375,2012-10-05,Globe Life Park in Arlington,darviyu01,flahery01,1,1,2,Single,7,top,
1376,2012-10-05,Globe Life Park in Arlington,darviyu01,machama01,1,1,2,Sac Bunt,7,top,1b
1377,2012-10-05,Globe Life Park in Arlington,hollade01,mclouna01,2,1,2,Single,7,top,3b
1378,2012-10-05,Globe Life Park in Arlington,hollade01,hardyjj01,2,1,3,Strikeout,7,top,2b
1379,2012-10-05,Globe Life Park in Arlington,odayda01,napolmi01,1,1,3,Groundout,7,bottom,
1380,2012-10-05,Globe Life Park in Arlington,odayda01,morelmi01,2,1,3,Strikeout,7,bottom,
1381,2012-10-05,Globe Life Park in Arlington,ueharko01,davisch02,0,1,3,Strikeout,8,top,
1382,2012-10-05,Globe Life Park in Arlington,ueharko01,jonesad01,1,1,3,Strikeout,8,top,
1383,2012-10-05,Globe Life Park in Arlington,ueharko01,wietema01,2,1,3,Strikeout,8,top,
1384,2012-10-05,Globe Life Park in Arlington,odayda01,murphda07,0,1,3,Groundout,8,bottom,
1385,2012-10-05,Globe Life Park in Arlington,odayda01,kinslia01,1,1,3,Single,8,bottom,
